range,cityuf,citycd,pv2,barrelsa08,mfrcode,city08,lv4,rangehwy,co2a,mpgdata,uhighway,highway08,startstop,comb08u,year,model,fueltype,displ,highwayuf,highwaye,cylinders,co2,charge240,phevblended,drive,highwaya08u,highwaya08,make,highway08u,phevcomb,fuelcosta08,ucitya,ghgscore,combe,basemodel,phevcity,barrels08,fuelcost08,pv4,fescore,co2tailpipegpm,citya08u,charge240b,comba08u,rangecitya,charge120,co2tailpipeagpm,fueltype1,lv2,id,trany,highwaycd,yousavespend,citya08,ucity,vclass,createdon,city08u,combineduf,modifiedon,rangecity,citye,comb08,uhighwaya,rangehwya,phevhwy,hpv,engid,hlv,comba08,combinedcd,tcharger,eng_dscr,scharger,guzzler,fueltype2,atvtype,ghgscorea,rangea,evmotor
0,0.0,0.0,94,0.0,CRX,14,0,0.0,-1,N,31.4,23,N,16.9149,2022,Challenger,Premium,6.4,0.0,0.0,8,523,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,22.5138,0,0,0.0,3,0.0,Challenger,0,17.500588235294117,3950,0,3,523.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,16,45069,Manual 6-spd,0.0,-10250,0,17.3,Midsize Cars,2022-01-19,14.0551,0.0,2022-12-21,0.0,0.0,17,0.0,0.0,0,0,13,0,0,0.0,,,,G,,,,,
0,0.0,0.0,0,0.0,CRX,18,16,0.0,-1,N,38.1,27,N,21.4055,2023,Charger AWD,Regular,3.6,0.0,0.0,6,415,0.0,false,All-Wheel Drive,0.0,0,Dodge,26.9053,0,0,0.0,4,0.0,Charger,0,14.167142857142858,2550,105,4,415.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,46284,Automatic 8-spd,0.0,-3250,0,23.0,Large Cars,2022-12-12,18.3385,0.0,2023-04-27,0.0,0.0,21,0.0,0.0,0,0,22,0,0,0.0,,,,,,,,,
0,0.0,0.0,0,0.0,CRX,13,0,0.0,-1,N,26.5492,19,N,15.1196,2024,Durango SRT AWD,Premium,6.4,0.0,0.0,8,584,0.0,false,All-Wheel Drive,0.0,0,Dodge,19.2495,0,0,0.0,2,0.0,Durango,0,19.834,4500,0,2,584.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,0,47427,Automatic 8-spd,0.0,-13000,0,15.7498,Standard Sport Utility Vehicle 4WD,2023-11-06,12.8619,0.0,2024-02-21,0.0,0.0,15,0.0,0.0,0,0,546,0,0,0.0,,,,,,,,,
0,0.0,0.0,94,0.0,CRX,13,0,0.0,-1,N,27.7,21,N,15.5775,2023,Challenger SRT Widebody,Premium,6.2,0.0,0.0,8,567,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,20.5813,0,0,0.0,3,0.0,Challenger,0,18.594375,4200,0,3,567.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,16,46558,Manual 6-spd,0.0,-11500,0,16.0,Midsize Cars,2023-04-11,12.9929,0.0,2023-05-10,0.0,0.0,16,0.0,0.0,0,0,16,0,0,0.0,,,S,G,,,,,
0,0.0,0.0,0,0.0,CRX,14,0,0.0,-1,Y,31.1,22,N,16.9243,2021,Durango RWD,Midgrade,5.7,0.0,0.0,8,525,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,22.3141,0,0,0.0,3,0.0,Durango,0,17.500588235294117,3650,0,3,525.0,0.0,0.0,0.0,0.0,0.0,0.0,Midgrade Gasoline,0,43319,Automatic 8-spd,0.0,-8750,0,17.4,Standard Sport Utility Vehicle 2WD,2020-10-12,14.1316,0.0,2021-07-12,0.0,0.0,17,0.0,0.0,0,0,557,0,0,0.0,,,,,,,,,
0,0.0,0.0,94,0.0,CRX,16,0,0.0,-1,N,35.1989,25,N,19.062,2020,Challenger,Midgrade,5.7,0.0,0.0,8,466,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,25.0202,0,0,0.0,3,0.0,Challenger,0,15.65842105263158,3250,0,3,466.0,0.0,0.0,0.0,0.0,0.0,0.0,Midgrade Gasoline,16,42387,Automatic 8-spd,0.0,-6750,0,19.8,Midsize Cars,2019-12-18,15.9536,0.0,2020-04-14,0.0,0.0,19,0.0,0.0,0,0,19,0,0,0.0,,,,,,,,,
0,0.0,0.0,0,0.0,CRX,18,16,0.0,-1,N,38.1,27,N,21.4055,2022,Charger AWD,Regular,3.6,0.0,0.0,6,415,0.0,false,All-Wheel Drive,0.0,0,Dodge,26.9053,0,0,0.0,4,0.0,Charger,0,14.167142857142858,2550,105,4,415.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,45085,Automatic 8-spd,0.0,-3250,0,23.0,Large Cars,2022-01-19,18.3385,0.0,2022-12-21,0.0,0.0,21,0.0,0.0,0,0,26,0,0,0.0,,,,,,,,,
0,0.0,0.0,94,0.0,CRX,18,0,0.0,-1,N,38.1,27,N,21.4055,2021,Challenger AWD,Regular,3.6,0.0,0.0,6,415,0.0,false,All-Wheel Drive,0.0,0,Dodge,26.9053,0,0,0.0,4,0.0,Challenger,0,14.167142857142858,2550,0,4,415.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,16,43443,Automatic 8-spd,0.0,-3250,0,23.0,Midsize Cars,2020-11-10,18.3385,0.0,2021-07-12,0.0,0.0,21,0.0,0.0,0,0,25,0,0,0.0,,,,,,,,,
0,0.0,0.0,0,0.0,CRX,19,0,0.0,-1,N,36.3997,26,Y,21.4537,2022,Durango RWD,Regular,3.6,0.0,0.0,6,414,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,25.8035,0,0,0.0,4,0.0,Durango,0,14.167142857142858,2550,0,4,414.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,45038,Automatic 8-spd,0.0,-3250,0,23.6996,Standard Sport Utility Vehicle 2WD,2022-01-04,18.8533,0.0,2022-01-12,0.0,0.0,21,0.0,0.0,0,0,526,0,0,0.0,,,,,,,,,
0,0.0,0.0,94,0.0,CRX,13,0,0.0,-1,N,28.8,22,N,16.2222,2022,Challenger SRT,Premium,6.2,0.0,0.0,8,546,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,22.0226,0,0,0.0,3,0.0,Challenger,0,18.594375,4200,0,3,546.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,16,45070,Automatic 8-spd,0.0,-11500,0,16.1,Midsize Cars,2022-01-19,13.3461,0.0,2022-12-21,0.0,0.0,16,0.0,0.0,0,0,16,0,0,0.0,,,S,G,,,,,
