range,cityuf,citycd,pv2,barrelsa08,mfrcode,city08,lv4,rangehwy,co2a,mpgdata,uhighway,highway08,tcharger,startstop,comb08u,year,model,fueltype,displ,highwayuf,highwaye,cylinders,co2,charge240,phevblended,drive,highwaya08u,highwaya08,make,highway08u,phevcomb,fuelcosta08,ucitya,ghgscore,combe,basemodel,phevcity,barrels08,fuelcost08,pv4,fescore,co2tailpipegpm,citya08u,charge240b,comba08u,rangecitya,charge120,co2tailpipeagpm,fueltype1,lv2,id,trany,highwaycd,yousavespend,citya08,ucity,vclass,createdon,city08u,combineduf,modifiedon,rangecity,citye,comb08,eng_dscr,uhighwaya,rangehwya,phevhwy,hpv,engid,hlv,comba08,combinedcd,fueltype2,atvtype,rangea,evmotor,ghgscorea,scharger,guzzler
320,0.0,0.0,0,0.0,FMX,78,0,283.1,-1,N,89.9,63,,N,70.3404,2023,F-150 Lightning 4WD Extended Range,Electricity,,0.0,47.9143,,0,10.1,false,All-Wheel Drive,0.0,0,Ford,62.93,0,0,0.0,10,47.9143,F-150 Lightning,0,0.1152,1100,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Electricity,0,46327,Automatic (A1),0.0,4000,0,111.2,Standard Pickup Trucks 4WD,2023-01-11,77.84,0.0,2023-10-19,350.2,43.2857,70,,0.0,0.0,0,0,229,0,0,0.0,,EV,,210 and 210 kW AC PMSM,,,
0,0.0,0.0,0,0.0,FMX,24,0,0.0,-1,N,43.3,29,,Y,25.6715,2020,Transit Connect Wagon LWB FWD,Regular,2.0,0.0,0.0,4.0,344,0.0,false,Front-Wheel Drive,0.0,0,Ford,28.635,0,0,0.0,5,0.0,Transit Connect,0,11.442692307692308,2050,0,5,344.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,41470,Automatic (S8),0.0,-750,0,30.4,Special Purpose Vehicle 2WD,2019-06-04,23.6674,0.0,2020-01-07,0.0,0.0,26,SIDI,0.0,0.0,0,0,125,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,21,16,0.0,-1,N,44.0,31,T,Y,24.8156,2020,Fusion FWD,Regular,2.0,0.0,0.0,4.0,355,0.0,false,Front-Wheel Drive,0.0,0,Ford,30.6641,0,0,0.0,5,0.0,Fusion,0,11.900400000000001,2150,103,5,355.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,41800,Automatic (S6),0.0,-1250,0,27.3,Midsize Cars,2019-08-15,21.4659,0.0,2020-01-07,0.0,0.0,25,SIDI,0.0,0.0,0,0,89,0,0,0.0,,,,,,,
0,0.0,0.0,85,0.0,FMX,20,0,0.0,-1,N,45.8074,27,T,N,23.0,2020,Mustang HO Convertible,Regular,2.3,0.0,0.0,4.0,386,0.0,false,Rear-Wheel Drive,0.0,0,Ford,27.0,0,0,0.0,5,0.0,Mustang,0,12.935217391304349,2350,0,5,386.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,12,41959,Automatic (S10),0.0,-2250,0,27.1841,Subcompact Cars,2019-08-29,20.0,0.0,2020-01-07,0.0,0.0,23,SIDI,0.0,0.0,0,0,440,0,0,0.0,,,,,,,
0,0.0,0.0,85,0.0,FMX,20,0,0.0,-1,N,38.7,27,T,N,22.8518,2020,Mustang HO Coupe,Regular,2.3,0.0,0.0,4.0,389,0.0,false,Rear-Wheel Drive,0.0,0,Ford,27.2921,0,0,0.0,5,0.0,Mustang,0,12.935217391304349,2350,0,5,389.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,12,41960,Manual 6-spd,0.0,-2250,0,25.5,Subcompact Cars,2019-08-29,20.1673,0.0,2020-01-07,0.0,0.0,23,SIDI,0.0,0.0,0,0,442,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,23,0,0.0,-1,N,36.8,26,,Y,24.5194,2021,Explorer HEV AWD,Regular,3.3,0.0,0.0,6.0,361,0.0,false,Part-time 4-Wheel Drive,0.0,0,Ford,26.0636,0,0,0.0,5,0.0,Explorer,0,11.900400000000001,2150,0,5,361.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,43291,Automatic (S10),0.0,-1250,0,30.0,Standard Sport Utility Vehicle 4WD,2020-10-05,23.3858,0.0,2022-01-12,0.0,0.0,25,SIDI & PFI; Hybrid,0.0,0.0,0,0,17,0,0,0.0,,Hybrid,,280V Li-Ion,,,
0,0.0,0.0,0,0.0,FMX,18,0,0.0,-1,Y,33.0793,23,T,Y,19.8787,2021,F150 Pickup 4WD,Regular,3.5,0.0,0.0,6.0,445,0.0,false,Part-time 4-Wheel Drive,0.0,0,Ford,23.0,0,0,0.0,4,0.0,F150,0,14.8755,2700,0,4,445.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,43463,Automatic (S10),0.0,-4000,0,21.9951,Standard Pickup Trucks 4WD,2020-11-10,17.5949,0.0,2021-08-10,0.0,0.0,20,SIDI & PFI,0.0,0.0,0,0,22,0,0,0.0,,,,,,,
0,0.0,0.0,85,0.0,FMX,12,0,0.0,-1,N,25.166,18,,N,14.0853,2021,Shelby GT500 Mustang,Premium,5.2,0.0,0.0,8.0,631,0.0,false,Rear-Wheel Drive,0.0,0,Ford,18.4683,0,0,0.0,1,0.0,Mustang,0,21.250714285714285,4800,0,1,631.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,12,43675,Automatic (AM7),0.0,-14500,0,14.3772,Subcompact Cars,2021-01-20,11.7951,0.0,2021-08-24,0.0,0.0,14,,0.0,0.0,0,0,87,0,0,0.0,,,,,,S,G
0,0.0,0.0,0,0.0,FMX,20,0,0.0,-1,N,33.5183,21,T,Y,20.2569,2023,Bronco 4WD,Regular,2.3,0.0,0.0,4.0,439,0.0,false,Part-time 4-Wheel Drive,0.0,0,Ford,21.2292,0,0,0.0,4,0.0,Bronco,0,14.8755,2700,0,4,439.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,46189,Automatic (S10),0.0,-4000,0,24.6177,Small Sport Utility Vehicle 4WD,2022-11-07,19.5253,0.0,2022-11-30,0.0,0.0,20,SIDI & PFI,0.0,0.0,0,0,114,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,20,0,0.0,-1,N,32.111,21,T,Y,20.2068,2023,Bronco 4WD,Regular,2.3,0.0,0.0,4.0,440,0.0,false,Part-time 4-Wheel Drive,0.0,0,Ford,20.8482,0,0,0.0,4,0.0,Bronco,0,14.8755,2700,0,4,440.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,46190,Manual 7-spd,0.0,-4000,0,24.8719,Small Sport Utility Vehicle 4WD,2022-11-07,19.7106,0.0,2022-11-30,0.0,0.0,20,SIDI & PFI,0.0,0.0,0,0,109,0,0,0.0,,,,,,,
310,0.0,0.0,0,0.0,FMX,105,0,287.6,-1,N,131.9,92,,N,99.0977,2023,Mustang Mach-E RWD Extended,Electricity,,0.0,36.5049,,0,10.2,false,Rear-Wheel Drive,0.0,0,Ford,92.33,0,0,0.0,10,34.0119,Mustang Mach-E,0,0.08159999999999999,750,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Electricity,0,46518,Automatic (A1),0.0,5750,0,150.6,Small Sport Utility Vehicle 2WD,2023-03-16,105.42,0.0,2023-06-01,328.3,31.9721,99,,0.0,0.0,0,0,46,0,0,0.0,,EV,,216 kW AC PMSM,,,
0,0.0,0.0,0,0.0,FMX,19,0,0.0,-1,N,35.9116,25,T,Y,21.2382,2024,Edge AWD,Regular,2.7,0.0,0.0,6.0,418,0.0,false,All-Wheel Drive,0.0,0,Ford,25.4856,0,0,0.0,4,0.0,Edge,0,14.167142857142858,2550,0,4,418.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,46880,Automatic (S8),0.0,-3250,0,23.477,Small Sport Utility Vehicle 4WD,2023-07-31,18.6897,0.0,2024-02-21,0.0,0.0,21,SIDI,0.0,0.0,0,0,105,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,18,0,0.0,-1,N,33.746,23,T,Y,20.2085,2024,F150 Pickup 4WD,Regular,2.7,0.0,0.0,6.0,444,0.0,false,Part-time 4-Wheel Drive,0.0,0,Ford,23.0,0,0,0.0,4,0.0,F150,0,14.8755,2700,0,4,444.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,47611,Automatic (S10),0.0,-4000,0,22.3595,Standard Pickup Trucks 4WD,2024-02-21,17.8651,0.0,2024-03-19,0.0,0.0,20,SIDI & PFI,0.0,0.0,0,0,40,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,17,0,0.0,-1,N,26.2304,17,T,Y,17.0077,2024,Bronco Sasquatch 4WD,Regular,2.7,0.0,0.0,6.0,522,0.0,false,Part-time 4-Wheel Drive,0.0,0,Ford,17.2626,0,0,0.0,3,0.0,Bronco,0,17.500588235294117,3150,0,3,522.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,47654,Automatic (S10),0.0,-6250,0,20.9342,Small Sport Utility Vehicle 4WD,2024-02-21,16.8046,0.0,2024-03-19,0.0,0.0,17,SIDI & PFI,0.0,0.0,0,0,95,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,20,16,0.0,-1,N,40.9282,29,T,N,23.1356,2020,Fusion AWD,Regular,2.0,0.0,0.0,4.0,384,0.0,false,All-Wheel Drive,0.0,0,Ford,28.7195,0,0,0.0,5,0.0,Fusion,0,12.935217391304349,2350,103,5,384.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,41799,Automatic (S6),0.0,-2250,0,25.215,Midsize Cars,2019-08-15,19.9603,0.0,2020-01-07,0.0,0.0,23,SIDI,0.0,0.0,0,0,87,0,0,0.0,,,,,,,
0,0.0,0.0,0,4.562142857142856,FMX,16,0,0.0,449,N,31.9,21,,Y,18.0,2020,F150 2WD FFV BASE PAYLOAD LT,Gasoline or E85,5.0,0.0,0.0,8.0,494,0.0,false,Rear-Wheel Drive,17.1727,17,Ford,21.0,0,3150,15.1816,3,0.0,F150,0,16.528333333333336,3000,0,3,494.0,12.1895,0.0,14.0203,0.0,0.0,449.0,Regular Gasoline,0,42169,Automatic (S10),0.0,-5500,12,20.8674,Standard Pickup Trucks 2WD,2019-10-16,16.0,0.0,2020-04-14,0.0,0.0,18,SIDI & PFI; FFV,23.9781,0.0,0,0,79,0,14,0.0,E85,FFV,335/378,,4.0,,
0,0.0,0.0,0,0.0,FMX,17,0,0.0,-1,N,30.5,22,T,Y,19.0111,2020,F150 Pickup 2WD Limited,Regular,3.5,0.0,0.0,6.0,466,0.0,false,Rear-Wheel Drive,0.0,0,Ford,21.9137,0,0,0.0,3,0.0,F150,0,15.65842105263158,2850,0,3,466.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,42172,Automatic (S10),0.0,-4750,0,21.4,Standard Pickup Trucks 2WD,2019-10-16,17.1523,0.0,2020-04-14,0.0,0.0,19,SIDI,0.0,0.0,0,0,165,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,23,0,0.0,-1,Y,45.3,31,T,Y,25.9423,2020,Escape AWD,Regular,2.0,0.0,0.0,4.0,342,0.0,false,All-Wheel Drive,0.0,0,Ford,31.4791,0,0,0.0,5,0.0,Escape,0,11.442692307692308,2050,0,5,342.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,42256,Automatic (S8),0.0,-750,0,29.0,Small Sport Utility Vehicle 4WD,2019-11-05,22.6786,0.0,2020-01-16,0.0,0.0,26,SIDI,0.0,0.0,0,0,70,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,21,0,0.0,-1,N,41.2,29,T,Y,24.2231,2020,F150 Pickup 2WD,Diesel,3.0,0.0,0.0,6.0,420,0.0,false,Rear-Wheel Drive,0.0,0,Ford,28.8926,0,0,0.0,4,0.0,F150,0,14.883125,2350,0,5,420.0,0.0,0.0,0.0,0.0,0.0,0.0,Diesel,0,42517,Automatic (S10),0.0,-2250,0,27.2,Standard Pickup Trucks 2WD,2020-03-17,21.3942,0.0,2020-04-14,0.0,0.0,24,,0.0,0.0,0,0,152,0,0,0.0,,Diesel,,,,,
