range,cityuf,citycd,pv2,barrelsa08,mfrcode,city08,lv4,rangehwy,co2a,mpgdata,uhighway,highway08,startstop,comb08u,year,model,fueltype,displ,highwayuf,highwaye,cylinders,co2,charge240,phevblended,drive,highwaya08u,highwaya08,make,highway08u,phevcomb,fuelcosta08,ucitya,ghgscore,combe,basemodel,phevcity,barrels08,fuelcost08,pv4,fescore,co2tailpipegpm,citya08u,charge240b,comba08u,rangecitya,charge120,co2tailpipeagpm,fueltype1,lv2,id,trany,highwaycd,yousavespend,citya08,ucity,vclass,createdon,city08u,combineduf,modifiedon,rangecity,citye,comb08,uhighwaya,rangehwya,phevhwy,hpv,engid,hlv,comba08,combinedcd,tcharger,eng_dscr,atvtype,evmotor,scharger,fueltype2,rangea
0,0.0,0.0,0,0.0,CRX,18,0,0.0,-1,Y,34.7,24,Y,20.6882,2021,Cherokee Trailhawk 4WD,Regular,3.2,0.0,0.0,6,432,0.0,false,All-Wheel Drive,0.0,0,Jeep,24.0,0,0,0.0,4,0.0,Cherokee,0,14.167142857142858,2550,0,4,432.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,43070,Automatic 9-spd,0.0,-3250,0,22.8996,Small Sport Utility Vehicle 4WD,2020-09-03,18.2644,0.0,2020-11-18,0.0,0.0,21,0.0,0.0,0,0,549,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,CRX,17,0,0.0,-1,Y,30.6,22,Y,19.0841,2022,Gladiator 4WD,Regular,3.6,0.0,0.0,6,466,0.0,false,4-Wheel Drive,0.0,0,Jeep,21.9805,0,0,0.0,4,0.0,Gladiator,0,15.65842105263158,2850,0,4,466.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,44896,Automatic 8-spd,0.0,-4750,0,21.5,Standard Pickup Trucks 4WD,2021-12-02,17.2268,0.0,2022-10-13,0.0,0.0,19,0.0,0.0,0,0,547,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,CRX,18,0,0.0,-1,N,34.5,25,Y,20.7754,2022,Grand Cherokee WK 4WD,Regular,3.6,0.0,0.0,6,427,0.0,false,All-Wheel Drive,0.0,0,Jeep,24.5623,0,0,0.0,4,0.0,Grand Cherokee,0,14.167142857142858,2550,0,4,427.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,45042,Automatic 8-spd,0.0,-3250,0,23.149,Standard Sport Utility Vehicle 4WD,2022-01-04,18.4483,0.0,2022-01-12,0.0,0.0,21,0.0,0.0,0,0,540,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,CRX,14,0,0.0,-1,N,27.6499,20,Y,16.5018,2023,Grand Wagoneer 4WD,Premium,3.0,0.0,0.0,6,537,0.0,false,All-Wheel Drive,0.0,0,Jeep,19.9966,0,0,0.0,3,0.0,Grand Wagoneer,0,17.500588235294117,3950,0,3,537.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,0,45844,Automatic 8-spd,0.0,-10250,0,17.8,Standard Sport Utility Vehicle 4WD,2022-08-30,14.4373,0.0,2023-04-27,0.0,0.0,17,0.0,0.0,0,0,502,0,0,0.0,T,SIDI,,,,,
0,0.0,0.0,0,0.0,CRX,17,0,0.0,-1,N,30.6,22,Y,19.0841,2024,Gladiator 4WD,Regular,3.6,0.0,0.0,6,466,0.0,false,4-Wheel Drive,0.0,0,Jeep,21.9805,0,0,0.0,4,0.0,Gladiator,0,15.65842105263158,2850,0,4,466.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,47620,Automatic 8-spd,0.0,-4750,0,21.5,Standard Pickup Trucks 4WD,2024-02-21,17.2268,0.0,2024-04-16,0.0,0.0,19,0.0,0.0,0,0,552,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,CRX,20,0,0.0,-1,N,35.1,22,Y,20.8822,2024,Wrangler 4dr 4WD,Regular,2.0,0.0,0.0,4,426,0.0,false,4-Wheel Drive,0.0,0,Jeep,22.4854,0,0,0.0,4,0.0,Wrangler,0,14.167142857142858,2550,0,4,426.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,46726,Automatic 8-spd,0.0,-3250,0,24.9,Small Sport Utility Vehicle 4WD,2023-06-23,19.7311,0.0,2024-03-19,0.0,0.0,21,0.0,0.0,0,0,500,0,0,0.0,T,SIDI,,,,,
0,0.0,0.0,0,0.0,CRX,19,0,0.0,-1,N,36.0,26,Y,21.3724,2024,Grand Cherokee L 2WD,Regular,3.6,0.0,0.0,6,416,0.0,false,Rear-Wheel Drive,0.0,0,Jeep,25.5432,0,0,0.0,4,0.0,Grand Cherokee,0,14.167142857142858,2550,0,4,416.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,47172,Automatic 8-spd,0.0,-3250,0,23.7,Standard Sport Utility Vehicle 2WD,2023-09-19,18.8536,0.0,2024-03-19,0.0,0.0,21,0.0,0.0,0,0,531,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,CRX,17,0,0.0,-1,Y,30.6,22,Y,19.0841,2020,Gladiator Pickup 4WD,Regular,3.6,0.0,0.0,6,466,0.0,false,4-Wheel Drive,0.0,0,Jeep,21.9805,0,0,0.0,3,0.0,Gladiator Pickup,0,15.65842105263158,2850,0,3,466.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,41362,Automatic 8-spd,0.0,-4750,0,21.5,Standard Pickup Trucks 4WD,2019-04-02,17.2268,0.0,2019-05-02,0.0,0.0,19,0.0,0.0,0,0,500,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,CRX,22,0,0.0,-1,N,37.4997,24,Y,22.8165,2020,Wrangler 4WD,Regular,2.0,0.0,0.0,4,388,0.0,false,4-Wheel Drive,0.0,0,Jeep,24.0029,0,0,0.0,5,0.0,Wrangler,0,12.935217391304349,2350,0,5,388.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,41763,Automatic 8-spd,0.0,-2250,0,27.9478,Small Sport Utility Vehicle 4WD,2019-08-12,21.9296,0.0,2019-12-18,0.0,0.0,23,0.0,0.0,0,0,528,0,0,0.0,T,SIDI,,,,,
0,0.0,0.0,0,0.0,CRX,23,0,0.0,-1,N,43.6,29,Y,25.5586,2021,Renegade 4WD,Regular,1.3,0.0,0.0,4,307,0.0,false,All-Wheel Drive,0.0,0,Jeep,29.0,0,0,0.0,5,0.0,Renegade,0,11.442692307692308,2050,0,5,307.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,43398,Automatic 9-spd,0.0,-750,0,29.9,Small Sport Utility Vehicle 4WD,2020-10-26,23.3153,0.0,2021-04-26,0.0,0.0,26,0.0,0.0,0,0,511,0,0,0.0,T,SIDI,,,,,
